type,days_for_shipment__scheduled,benefit_per_order,late_delivery_risk,department_name,market,order_item_discount_rate,product_price,transaction_id
TRANSFER,4,-32.59999847,1,Golf,LATAM,0.200000003,50,T110
TRANSFER,4,68.98000336,0,Golf,LATAM,0.25,39.99000168,T111
TRANSFER,4,-11.81000042,0,Golf,LATAM,0.25,50,T112
TRANSFER,4,52.5,1,Golf,LATAM,0.25,50,T113
TRANSFER,4,91.87999725,0,Golf,LATAM,0.25,50,T114
TRANSFER,4,29.69000053,1,Outdoors,LATAM,0.01,47.99000168,T115
TRANSFER,4,73.69999695,0,Outdoors,LATAM,0.039999999,31.98999977,T116
TRANSFER,4,-79.19000244,1,Outdoors,LATAM,0.119999997,89.98999786,T117
TRANSFER,4,34.84999847,0,FanShop,LATAM,0.170000002,29.98999977,T118
TRANSFER,4,74.08999634,0,Fitness,LATAM,0.050000001,59.99000168,T119
TRANSFER,4,149.9900055,1,Footwear,LATAM,0,99.98999786,T120
TRANSFER,4,-18.80999947,0,Footwear,LATAM,0.01,99.98999786,T121
TRANSFER,4,140.6399994,1,Footwear,LATAM,0.029999999,99.98999786,T122
TRANSFER,4,36,0,Footwear,LATAM,0.039999999,99.98999786,T123
TRANSFER,4,179.9799957,1,Footwear,LATAM,,99.98999786,T124
TRANSFER,4,-783.6699829,0,,LATAM,0.050000001,99.98999786,T125
TRANSFER,4,199.4799957,1,Footwear,LATAM,0.050000001,99.98999786,T126
TRANSFER,4,-269.9700012,1,Footwear,LATAM,0.100000001,99.98999786,T127
TRANSFER,4,-22.5,0,Footwear,LATAM,0.100000001,99.98999786,T128
TRANSFER,4,59.06000137,0,Footwear,LATAM,0.25,89.98999786,T129
TRANSFER,4,140.9799957,0,Apparel,LATAM,0,59.99000168,T130
TRANSFER,4,81.66000366,0,Apparel,LATAM,0.01,59.99000168,T131
TRANSFER,4,18.40999985,1,Apparel,LATAM,0.01,59.99000168,T132
TRANSFER,4,33.22000122,0,Apparel,LATAM,0.02,59.99000168,T133
TRANSFER,4,25.30999947,1,Apparel,LATAM,0.029999999,59.99000168,T134
TRANSFER,4,-239.8600006,1,Apparel,LATAM,0.039999999,59.99000168,T135
TRANSFER,4,-155.8999939,1,Apparel,LATAM,0.059999999,59.99000168,T136
DEBIT,2,40.02000046,1,Footwear,Africa,0.129999995,99.98999786,T137
DEBIT,2,44.59000015,1,Apparel,Africa,0.02,129.9900055,T138
DEBIT,2,57.95999908,1,Apparel,Africa,0.090000004,129.9900055,T139
DEBIT,2,30.42000008,1,Apparel,Africa,0.100000001,129.9900055,T140
DEBIT,2,24.60000038,1,Apparel,Africa,0.180000007,59.99000168,T141
DEBIT,2,48.88000107,1,Apparel,Africa,0.200000003,129.9900055,T142
DEBIT,2,0,1,FanShop,Africa,0.01,299.980011,T143
DEBIT,2,95.54000092,1,FanShop,Africa,0.02,299.980011,T144
DEBIT,2,-50.58000183,1,Technology,Europe,0,252.8800049,T145
DEBIT,2,120.8300018,1,Technology,Europe,0.01,452.0400085,T146
DEBIT,2,25.04000092,1,Technology,Europe,0.01,252.8800049,T147
DEBIT,2,,1,Technology,Europe,0.02,452.0400085,T148
DEBIT,2,68.68000031,1,Technology,Europe,0.029999999,252.8800049,T149
DEBIT,2,135.8300018,1,Technology,Europe,0.039999999,452.0400085,T150
DEBIT,2,78.08000183,1,Technology,Europe,0.050000001,252.8800049,T151
DEBIT,2,595.3499756,1,Technology,Europe,0.059999999,1500,T152
DEBIT,2,21.36000061,0,,Europe,0.059999999,452.0400085,T153
DEBIT,2,213.5899963,1,Technology,Europe,,452.0400085,T154
DEBIT,2,55.79999924,1,Technology,Europe,0.07,1500,T155
DEBIT,2,126.1200027,1,Technology,Europe,0.07,452.0400085,T156
DEBIT,2,6.900000095,0,Technology,Europe,0.090000004,252.8800049,T157
DEBIT,2,-277.6700134,1,Technology,Europe,0.090000004,452.0400085,T158
DEBIT,2,105.8600006,1,Technology,Europe,0.090000004,252.8800049,T159
DEBIT,2,86,1,Technology,Europe,0.090000004,1500,T160
DEBIT,2,195.2799988,0,Technology,Europe,0.100000001,452.0400085,T161
DEBIT,2,22.76000023,1,Technology,Europe,0.100000001,252.8800049,T162
DEBIT,2,180.5899963,1,Technology,Europe,0.150000006,452.0400085,T163
DEBIT,2,101.0299988,1,Technology,Europe,0.150000006,252.8800049,T164
DEBIT,2,118.8499985,1,Technology,Europe,0.159999996,452.0400085,T165
DEBIT,2,60.86999893,1,Technology,Europe,0.170000002,252.8800049,T166
DEBIT,2,73.45999908,1,Technology,Europe,0.170000002,252.8800049,T167
DEBIT,2,39.88000107,1,Technology,Europe,0.170000002,252.8800049,T168
DEBIT,2,177.9199982,1,Technology,Europe,0.180000007,,T169
DEBIT,2,129.7400055,1,,Europe,0.180000007,452.0400085,T170
DEBIT,2,62.20999908,1,Technology,Europe,0.180000007,252.8800049,T171
DEBIT,2,90,1,Technology,Europe,0.200000003,1500,T172
DEBIT,2,118.6600037,0,Technology,Europe,0.25,452.0400085,T173
DEBIT,2,415.7999878,1,Fitness,Europe,0.01,999.9899902,T174
DEBIT,2,8.619999886,1,Fitness,Europe,0.02,79.98999786,T175
DEBIT,2,16.34000015,1,Fitness,Europe,0.129999995,59.99000168,T176
DEBIT,2,12.52999973,1,Footwear,Europe,0.039999999,44.99000168,T177
DEBIT,2,25.92000008,1,Footwear,Europe,0.039999999,99.98999786,T178
DEBIT,2,-13.57999992,1,Footwear,Europe,0.050000001,99.98999786,T179
DEBIT,2,10.03999996,1,Footwear,Europe,0.07,44.99000168,T180
DEBIT,2,10.80000019,1,Footwear,Europe,0.100000001,99.98999786,T181
DEBIT,2,16.71999931,1,Footwear,Europe,0.119999997,99.98999786,T182
TRANSFER,4,28.85000038,0,Footwear,USCA,0.050000001,44.99000168,T183
TRANSFER,4,133.9100037,0,Footwear,USCA,0.07,99.98999786,T184
TRANSFER,4,79.16000366,0,Footwear,USCA,0.090000004,99.98999786,T185
TRANSFER,4,19.11000061,0,,USCA,0.090000004,,T186
TRANSFER,4,10.77000046,0,Apparel,USCA,0.050000001,59.99000168,T187
TRANSFER,4,-284.5299988,0,Apparel,USCA,0.07,59.99000168,T188
TRANSFER,4,69.68000031,0,Apparel,USCA,0.119999997,59.99000168,T189
TRANSFER,4,7.480000019,0,Golf,USCA,0.01,39.99000168,T190
TRANSFER,4,11.02999973,0,Golf,USCA,0.02,25,T191
TRANSFER,4,-24.8199997,0,Golf,USCA,0.119999997,50,T192
TRANSFER,4,33,0,Golf,USCA,0.119999997,50,T193
TRANSFER,4,36.54000092,0,Golf,USCA,0.129999995,50,T194
TRANSFER,4,-76.37000275,0,Golf,USCA,0.170000002,39.99000168,T195
TRANSFER,4,8.760000229,0,Golf,USCA,0.170000002,39.99000168,T196
TRANSFER,4,36.36999893,0,Outdoors,USCA,0.01,24.98999977,T197
TRANSFER,4,18.12999916,0,Outdoors,USCA,0.159999996,15.98999977,T198
TRANSFER,4,-12.98999977,0,Apparel,Africa,0.050000001,59.99000168,T199
TRANSFER,4,74.04000092,0,Apparel,Africa,0.150000006,59.99000168,T200
TRANSFER,4,90,0,Golf,Africa,0,50,T201
TRANSFER,4,-2.190000057,0,Golf,Africa,0.02,,T202
TRANSFER,4,85.05000305,0,Golf,,0.059999999,50,T203
TRANSFER,4,3.039999962,0,Outdoors,Africa,0.200000003,24.98999977,T204
TRANSFER,4,-266.7900085,0,Footwear,,0.090000004,99.98999786,T205
TRANSFER,4,64.79000092,0,Apparel,Africa,0,59.99000168,T206
TRANSFER,4,83.62000275,1,Apparel,Africa,0.039999999,59.99000168,T207
TRANSFER,4,74.08999634,1,Apparel,Africa,0.050000001,59.99000168,T208
TRANSFER,4,92.97000122,0,Apparel,Africa,0.059999999,59.99000168,T209
TRANSFER,4,70.55999756,1,Apparel,Africa,0.129999995,59.99000168,T210
TRANSFER,4,96,1,Golf,Africa,0,50,T211
TRANSFER,4,-145.1300049,1,Golf,Africa,0.01,50,T212
TRANSFER,4,45,0,Golf,Africa,0.029999999,39.99000168,T213
TRANSFER,4,51.09000015,1,Golf,Africa,0.059999999,39.99000168,T214
TRANSFER,4,31.25,0,Golf,Africa,0.07,30,T215
TRANSFER,4,-459,0,Golf,Africa,0.150000006,50,T216
TRANSFER,4,-248,0,Golf,Africa,0.200000003,50,T217
TRANSFER,4,13.19999981,1,Golf,Africa,0.25,50,T218
TRANSFER,4,46.29000092,0,Outdoors,Africa,0.059999999,24.98999977,T219
TRANSFER,4,182.1399994,1,Footwear,Africa,0.01,99.98999786,T220
TRANSFER,4,-261.4400024,1,Footwear,Africa,0.02,99.98999786,T221
TRANSFER,4,178.5800018,0,Footwear,,0.050000001,99.98999786,T222
TRANSFER,4,167.4199982,0,Footwear,,0.090000004,99.98999786,T223
TRANSFER,4,-76.66999817,1,Footwear,Africa,0.100000001,99.98999786,T224
TRANSFER,4,165.4199982,1,Footwear,Africa,0.119999997,99.98999786,T225
TRANSFER,4,-82.01000214,0,Footwear,Africa,0.119999997,99.98999786,T226
TRANSFER,4,91.79000092,0,Footwear,Africa,0.150000006,99.98999786,T227
DEBIT,4,40.56000137,0,Apparel,PacificAsia,0.039999999,129.9900055,T228
DEBIT,4,41.18000031,0,Apparel,PacificAsia,0.039999999,129.9900055,T229
DEBIT,4,27.36000061,0,Apparel,PacificAsia,0.050000001,59.99000168,T230
DEBIT,4,26.05999947,0,Apparel,PacificAsia,0.050000001,129.9900055,T231
DEBIT,4,32.47999954,0,Apparel,PacificAsia,0.050000001,129.9900055,T232
DEBIT,4,35.81000137,1,Apparel,PacificAsia,0.050000001,129.9900055,T233
DEBIT,4,102.5100021,1,Apparel,PacificAsia,0.050000001,215.8200073,T234
DEBIT,4,15.43999958,0,Apparel,PacificAsia,0.050000001,129.9900055,T235
DEBIT,4,4.570000172,0,Apparel,PacificAsia,0.050000001,129.9900055,T236
DEBIT,4,61.75,1,Apparel,PacificAsia,0.050000001,129.9900055,T237
DEBIT,4,38.65000153,1,Apparel,PacificAsia,0.050000001,129.9900055,T238
DEBIT,4,14.25,0,Apparel,PacificAsia,0.050000001,59.99000168,T239
DEBIT,4,-6.170000076,0,Apparel,PacificAsia,0.050000001,129.9900055,T240
DEBIT,4,20.12999916,0,Apparel,PacificAsia,0.050000001,129.9900055,T241
DEBIT,4,54.34000015,0,Apparel,PacificAsia,0.050000001,129.9900055,T242
DEBIT,4,43.61000061,0,Apparel,PacificAsia,0.059999999,461.480011,T243
DEBIT,4,42.99000168,0,Apparel,PacificAsia,0.059999999,129.9900055,T244
DEBIT,4,19.84000015,0,Apparel,PacificAsia,0.059999999,59.99000168,T245
DEBIT,4,54.04999924,0,Apparel,PacificAsia,0.059999999,129.9900055,T246
DEBIT,4,-184.2599945,0,Apparel,PacificAsia,0.059999999,129.9900055,T247
DEBIT,4,39.91999817,1,Apparel,PacificAsia,0.059999999,129.9900055,T248
DEBIT,4,41.52000046,1,Apparel,PacificAsia,0.059999999,129.9900055,T249
DEBIT,4,9.210000038,0,Apparel,PacificAsia,0.059999999,129.9900055,T250
DEBIT,4,12.27999973,0,Apparel,PacificAsia,0.059999999,129.9900055,T251
DEBIT,4,36.84999847,0,Apparel,PacificAsia,0.059999999,129.9900055,T252
DEBIT,4,60.45000076,1,Apparel,PacificAsia,0.07,129.9900055,T253
DEBIT,4,-29.37999916,0,Apparel,PacificAsia,0.07,129.9900055,T254
DEBIT,4,15.10999966,0,Apparel,PacificAsia,0.07,129.9900055,T255
DEBIT,4,-105.7799988,0,Apparel,PacificAsia,0.07,129.9900055,T256
DEBIT,4,72.86000061,0,Apparel,PacificAsia,0.07,215.8200073,T257
DEBIT,4,26.78000069,1,Apparel,PacificAsia,0.07,59.99000168,T258
DEBIT,4,31.79000092,0,Apparel,PacificAsia,0.07,129.9900055,T259
DEBIT,4,7.619999886,0,Apparel,PacificAsia,0.07,129.9900055,T260
DEBIT,4,62.8199997,0,Apparel,PacificAsia,0.07,215.8200073,T261
DEBIT,4,-187.3800049,0,Apparel,PacificAsia,0.07,129.9900055,T262
DEBIT,4,31.43000031,1,Apparel,PacificAsia,0.07,129.9900055,T263
DEBIT,4,-140.5,1,Apparel,PacificAsia,0.07,215.8200073,T264
DEBIT,4,37.77000046,0,Apparel,PacificAsia,0.07,461.480011,T265
DEBIT,4,-193.4299927,0,Apparel,PacificAsia,0.07,129.9900055,T266
DEBIT,4,76.26999664,0,Apparel,PacificAsia,0.07,215.8200073,T267
DEBIT,4,12.09000015,0,Apparel,PacificAsia,0.07,129.9900055,T268
DEBIT,4,32.63999939,1,Apparel,PacificAsia,0.07,129.9900055,T269
DEBIT,4,24.84000015,0,Apparel,PacificAsia,0.090000004,129.9900055,T270
DEBIT,4,6.170000076,0,Apparel,PacificAsia,0.090000004,59.99000168,T271
DEBIT,4,94.01999664,0,Apparel,PacificAsia,0.090000004,210.8500061,T272
DEBIT,4,22.5,0,Golf,Africa,0.100000001,50,T273
DEBIT,4,15.39999962,0,Golf,Africa,0.119999997,50,T274
DEBIT,4,52.18999863,0,Golf,Africa,0.129999995,39.99000168,T275
DEBIT,4,84.98000336,0,Golf,Africa,0.150000006,39.99000168,T276
DEBIT,4,65.73000336,1,Golf,Africa,0.159999996,50,T277
DEBIT,4,70.13999939,0,Golf,Africa,0.170000002,50,T278
DEBIT,4,56.02999878,1,Golf,Africa,0.170000002,50,T279
DEBIT,4,12.86999989,0,Golf,Africa,0.170000002,50,T280
DEBIT,4,64.16999817,0,Golf,Africa,0.180000007,50,T281
DEBIT,4,100.4499969,1,Golf,Africa,0.180000007,50,T282
DEBIT,4,71.75,1,Golf,Africa,0.180000007,50,T283
DEBIT,4,72.59999847,0,Golf,Africa,0.200000003,50,T284
DEBIT,4,67.48000336,1,Golf,Africa,0.25,39.99000168,T285
DEBIT,4,21.19000053,1,Golf,Africa,0.25,50,T286
DEBIT,4,59.97999954,1,Outdoors,Africa,0,24.98999977,T287
DEBIT,4,35.61000061,1,Outdoors,Africa,0.050000001,24.98999977,T288
DEBIT,4,39.90999985,0,Outdoors,Africa,0.059999999,24.98999977,T289
DEBIT,4,23.27000046,1,Outdoors,Africa,0.07,15.98999977,T290
DEBIT,4,30.88999939,1,Outdoors,Africa,0.159999996,15.98999977,T291
DEBIT,4,11.40999985,0,Outdoors,Africa,0.180000007,31.98999977,T292
DEBIT,4,53.97999954,0,FanShop,Africa,0.200000003,29.98999977,T293
DEBIT,4,82.15000153,0,Fitness,Africa,0.170000002,44.99000168,T294
DEBIT,4,66.48999786,0,Footwear,Africa,0.050000001,99.98999786,T295
DEBIT,4,80.98999786,0,Apparel,Africa,0,59.99000168,T296
DEBIT,4,54.77000046,0,Golf,Africa,0.170000002,39.99000168,T297
DEBIT,4,-265,1,Golf,Africa,0.200000003,50,T298
DEBIT,4,51.15999985,1,Outdoors,Africa,0.180000007,47.99000168,T299
DEBIT,4,85.48999786,1,Fitness,Europe,0.050000001,59.99000168,T300
DEBIT,4,59.13000107,1,Footwear,Europe,0,34.99000168,T301
DEBIT,4,84.13999939,0,Footwear,Europe,0.01,99.98999786,T302
DEBIT,4,65.83000183,0,Footwear,Europe,0.02,27.98999977,T303
DEBIT,4,43.11999893,1,Footwear,Europe,0.02,99.98999786,T304
DEBIT,4,242.4799957,0,Footwear,Europe,0.029999999,99.98999786,T305
DEBIT,4,-115.4199982,0,Footwear,Europe,0.029999999,99.98999786,T306
DEBIT,4,109.1100006,0,Footwear,Europe,0.029999999,99.98999786,T307
DEBIT,4,52.43999863,1,Footwear,Europe,0.029999999,31.98999977,T308
DEBIT,4,9.600000381,1,Footwear,Europe,0.039999999,99.98999786,T309
DEBIT,4,230.3800049,0,Footwear,Europe,0.039999999,99.98999786,T310
DEBIT,4,41.79999924,0,Footwear,Europe,0.050000001,99.98999786,T311
DEBIT,4,47.5,1,Footwear,Europe,0.050000001,99.98999786,T312
DEBIT,4,218.4799957,0,Footwear,Europe,0.050000001,99.98999786,T313
DEBIT,4,-9.81000042,1,Footwear,Europe,0.050000001,34.99000168,T314
DEBIT,4,82.66000366,1,Footwear,Europe,0.059999999,34.99000168,T315
DEBIT,4,174.3600006,1,Footwear,Europe,0.07,99.98999786,T316
DEBIT,4,159.2299957,1,Footwear,Europe,0.090000004,99.98999786,T317
TRANSFER,4,49.97000122,0,Apparel,LATAM,0.150000006,59.99000168,T318
TRANSFER,4,46.90999985,1,Apparel,LATAM,0.150000006,59.99000168,T319
TRANSFER,4,32.36000061,0,Apparel,LATAM,0.170000002,59.99000168,T320
TRANSFER,4,36.84999847,0,Apparel,LATAM,0.170000002,59.99000168,T321
TRANSFER,4,49.79000092,1,Apparel,LATAM,0.170000002,59.99000168,T322
TRANSFER,4,35,0,Golf,LATAM,0,50,T323
TRANSFER,4,43,0,Golf,LATAM,0,50,T324
TRANSFER,4,0,0,Golf,LATAM,0.01,50,T325
TRANSFER,4,21.77000046,0,Golf,LATAM,0.01,39.99000168,T326
TRANSFER,4,10.96000004,0,Golf,LATAM,0.029999999,50,T327
TRANSFER,4,41.27999878,0,Golf,LATAM,0.039999999,50,T328
TRANSFER,4,26.87000084,0,Golf,LATAM,0.039999999,39.99000168,T329
TRANSFER,4,34.18999863,1,Golf,LATAM,0.050000001,39.99000168,T330
TRANSFER,4,35.70999908,1,Golf,LATAM,0.050000001,39.99000168,T331
TRANSFER,4,11.88000011,1,Golf,LATAM,0.050000001,50,T332
TRANSFER,4,18.52000046,1,Golf,LATAM,0.059999999,70,T333
TRANSFER,4,17.44000053,1,Golf,LATAM,0.07,25,T334
TRANSFER,4,30.22999954,0,Golf,LATAM,0.07,50,T335
TRANSFER,4,-162.75,0,Golf,LATAM,0.07,50,T336
TRANSFER,4,24.60000038,1,Golf,LATAM,0.090000004,39.99000168,T337
TRANSFER,4,35.99000168,0,Golf,LATAM,0.100000001,39.99000168,T338
TRANSFER,4,17.12999916,0,Golf,LATAM,0.100000001,39.99000168,T339
TRANSFER,4,41.40000153,0,Golf,LATAM,0.100000001,50,T340
TRANSFER,4,23.38999939,0,Golf,LATAM,0.100000001,39.99000168,T341
TRANSFER,4,21.42000008,0,Golf,LATAM,0.100000001,50,T342
TRANSFER,4,28.17000008,1,Golf,LATAM,0.100000001,50,T343
TRANSFER,4,-11.47000027,0,Golf,LATAM,0.119999997,39.99000168,T344
TRANSFER,4,29.04000092,0,Golf,LATAM,0.119999997,50,T345
TRANSFER,4,23.48999977,0,Golf,LATAM,0.129999995,50,T346
TRANSFER,4,19.12999916,0,Golf,LATAM,0.150000006,50,T347
TRANSFER,4,5.96999979,0,Golf,LATAM,0.170000002,39.99000168,T348
TRANSFER,4,7.210000038,0,Golf,LATAM,0.180000007,39.99000168,T349
TRANSFER,4,21.63999939,0,Golf,LATAM,0.180000007,39.99000168,T350
TRANSFER,4,-9.050000191,1,Golf,LATAM,0.180000007,39.99000168,T351
TRANSFER,4,7.21999979,1,Golf,LATAM,0.180000007,50,T352
TRANSFER,4,37.59999847,0,Golf,LATAM,0.200000003,50,T353
TRANSFER,4,36.79999924,0,Golf,LATAM,0.200000003,50,T354
