Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
23.11,3476,257,2,50,15,Female,No,No,Caucasian,209
41.53,5000,353,2,50,12,Male,No,Yes,Caucasian,531
128.04,6982,518,2,78,11,Female,No,,Caucasian,250
54.32,3063,248,3,59,8,Female,Yes,No,Caucasian,269
53.4,5319,377,3,35,12,Female,No,No,African American,541
36.14,1852,183,3,33,13,Female,No,No,African American,0
63.53,8100,581,2,50,17,Female,No,Yes,Caucasian,1298
49.93,6396,485,3,75,17,Female,No,Yes,Caucasian,890
14.71,2047,167,2,67,6,Male,No,Yes,Caucasian,0
18.97,1626,156,2,41,11,Female,No,Yes,Asian,0
18.04,1552,142,2,48,15,Female,No,No,Caucasian,0
60.45,3098,272,4,69,8,Male,No,Yes,Caucasian,0
16.71,5274,387,3,42,16,Female,No,Yes,Asian,863
10.85,3907,296,2,30,9,Male,No,No,Caucasian,485
26.37,3235,268,5,78,11,Male,No,Yes,Asian,159
24.09,3665,287,4,56,13,Female,No,Yes,Caucasian,309
51.53,5096,380,2,31,15,Male,No,Yes,Caucasian,481
140.67,11200,817,7,46,9,Male,No,Yes,African American,1677
42.92,2532,205,4,42,13,Male,No,Yes,Asian,0
27.27,1389,149,5,67,10,Female,No,Yes,Caucasian,0
65.9,5140,370,1,49,17,Female,No,Yes,Caucasian,293
55.05,4381,321,3,74,17,,No,Yes,Asian,188
20.79,2672,204,1,70,18,Female,No,No,African American,0
24.92,,372,3,76,11,Female,No,Yes,African American,711
21.79,4632,355,1,50,17,Male,No,Yes,Caucasian,580
31.34,3526,289,3,38,7,Female,No,No,Caucasian,172
59.86,4964,365,1,46,13,Female,No,Yes,Caucasian,295
44.06,4970,352,1,79,11,Male,No,Yes,African American,414
82.71,7506,536,2,64,13,Female,No,Yes,Asian,905
24.46,1924,165,2,50,14,Female,No,Yes,Asian,0
45.12,3762,287,3,80,8,Male,No,Yes,Caucasian,70
75.41,3874,298,3,41,14,Female,No,Yes,Asian,0
14.96,4640,332,2,33,6,Male,No,No,Asian,681
75.26,7010,494,3,34,18,Female,No,Yes,Caucasian,885
33.69,4891,,1,52,16,Male,Yes,No,African American,1036
23.38,5429,396,3,57,15,Female,No,Yes,Caucasian,844
27.83,5227,386,6,63,11,Male,No,Yes,Caucasian,823
92.39,7685,534,2,75,18,Female,No,Yes,Asian,843
115.52,9272,656,2,69,14,Male,No,No,African American,1140
14.48,3907,296,3,43,16,Male,No,Yes,Caucasian,463
52.18,7306,522,2,57,14,Male,No,No,Asian,1142
68.46,4712,340,2,71,16,Male,No,Yes,Caucasian,136
18.95,1485,129,3,82,13,Female,No,No,Caucasian,0
27.59,2586,229,5,54,16,Male,No,Yes,African American,0
16.28,1160,126,3,78,13,Male,,Yes,African American,5
25.08,3096,236,2,27,15,Female,No,Yes,Caucasian,81
27.23,3484,282,6,51,11,Male,No,No,Caucasian,265
182.73,13913,982,4,98,17,Male,No,Yes,Caucasian,1999
31.03,2863,223,2,66,17,Male,Yes,Yes,Asian,415
17.77,5072,364,1,66,12,Female,No,Yes,Caucasian,732
125.48,10230,721,3,82,16,Male,No,Yes,Caucasian,1361
49.17,6662,508,3,68,14,Female,No,No,Asian,984
41.19,3673,297,3,54,16,Female,No,Yes,Caucasian,121
94.19,7576,527,2,44,16,Female,No,Yes,Caucasian,846
20.41,4543,329,2,72,17,Male,Yes,No,Asian,1054
12.58,3976,291,,48,16,Male,No,Yes,,474
62.33,5228,377,3,83,15,Male,No,No,Caucasian,380
21.01,3402,261,2,68,17,Male,No,Yes,African American,182
24.23,4756,351,2,64,15,Female,No,Yes,Caucasian,594
24.31,3409,270,2,23,7,Female,No,Yes,Caucasian,194
32.86,5884,438,4,68,13,Male,No,No,Caucasian,926
12.41,855,119,3,32,12,Male,No,Yes,African American,0
41.37,5303,377,1,45,14,Male,No,No,,606
149.32,10278,707,1,80,16,Male,No,No,African American,1107
27.79,3807,301,4,35,8,Female,No,Yes,African American,320
13.23,3922,299,2,77,17,Female,No,Yes,Caucasian,426
14.6,2955,260,5,37,9,Male,No,Yes,African American,204
10.74,3746,280,2,44,17,Female,No,Yes,Caucasian,410
48.22,5199,401,,39,10,Male,No,Yes,Asian,633
30.01,1511,137,2,33,17,Male,No,Yes,Caucasian,0
21.55,5380,420,5,51,18,Male,No,Yes,Asian,907
160.23,,754,2,69,17,Male,No,No,Caucasian,1192
13.43,1134,112,3,70,14,Male,No,Yes,Caucasian,0
48.58,5145,389,3,71,13,Female,No,Yes,Asian,503
30,1561,155,4,70,13,Female,No,Yes,Caucasian,0
61.62,5140,374,1,71,9,Male,No,Yes,Caucasian,302
104.48,7140,507,2,41,14,Male,No,Yes,African American,583
41.87,4716,342,2,47,18,Male,No,No,Caucasian,425
12.07,3873,292,1,44,18,Female,No,Yes,Asian,413
180.68,11966,832,2,58,8,Female,No,Yes,African American,1405
34.48,6090,442,3,36,14,Male,No,No,Caucasian,962
39.61,2539,188,1,40,14,Male,No,Yes,Asian,0
30.11,4336,339,1,81,18,Male,No,Yes,Caucasian,347
12.34,4471,344,3,79,12,Male,No,Yes,African American,611
53.57,5891,434,4,82,10,Female,No,No,Caucasian,712
53.22,4943,362,2,46,16,Female,No,Yes,Asian,382
26.16,5101,382,3,62,19,Female,No,No,African American,710
64.17,6127,433,1,80,10,Male,No,Yes,Caucasian,578
128.67,9824,685,3,67,16,Male,No,Yes,Asian,1243
113.77,6442,489,4,69,15,Male,Yes,Yes,Caucasian,790
61.07,7871,564,3,56,14,Male,No,Yes,Caucasian,1264
23.79,3615,263,2,70,14,Male,No,No,African American,216
89,5759,440,3,37,6,Female,No,No,Caucasian,345
71.68,8028,599,3,57,16,Male,No,Yes,Caucasian,1208
35.61,6135,466,4,40,12,Male,No,No,Caucasian,992
39.12,2150,173,4,75,15,Male,No,No,Caucasian,0
19.78,3782,293,2,46,16,Female,Yes,No,Caucasian,840
55.41,5354,383,2,37,16,Female,Yes,Yes,,1003
29.4,4840,368,3,76,18,Female,No,Yes,Caucasian,588
20.97,5673,413,5,44,16,Female,No,Yes,Caucasian,1000
87.63,7167,515,2,46,10,Female,No,No,African American,767
28.14,1567,142,3,51,10,Male,No,Yes,Caucasian,0
19.35,4941,366,1,33,19,Male,No,Yes,,717
53.31,2860,214,1,84,10,Male,No,Yes,Caucasian,0
115.12,7760,538,3,83,14,Female,No,No,African American,661
,8029,574,2,84,11,Male,No,Yes,Caucasian,849
24.82,5495,409,1,33,9,Male,Yes,,Caucasian,1352
14.29,3274,282,9,64,9,,No,Yes,,382
20.09,1870,180,3,76,16,Male,No,No,African American,0
26.4,5640,398,3,58,15,Female,No,No,Asian,905
19.25,3683,287,4,57,10,Male,No,No,African American,371
16.53,1357,126,3,62,9,Male,No,No,Asian,0
37.88,6827,482,2,80,13,Female,No,No,Caucasian,1129
83.95,7100,503,2,44,18,Male,No,No,Caucasian,806
135.12,10578,747,3,81,15,Female,No,Yes,Asian,1393
73.33,6555,472,2,43,15,Female,No,No,Caucasian,721
25.97,2308,196,2,24,10,Male,No,No,Asian,0
17.32,1335,138,2,65,13,Male,No,No,African American,0
49.79,5758,410,4,40,8,Male,No,No,Caucasian,734
12.1,4100,307,3,32,13,Male,No,Yes,Caucasian,560
13.36,3838,296,5,65,17,Male,No,No,African American,480
57.87,4171,321,5,67,12,Female,No,Yes,Caucasian,138
37.73,2525,192,1,44,13,Male,No,Yes,Caucasian,0
18.7,5524,415,5,64,7,Female,No,No,Asian,966
