Gender,Age,Debt,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Income,Approved
Male,23.17,0,Married,Yes,White,0.085,Yes,0,0,0,1
Male,44.33,0.5,Married,Yes,Black,5,Yes,0,0,0,1
Male,35.17,4.5,Married,Yes,Black,5.75,No,0,0,0,1
Male,43.25,3,Married,Yes,Black,6,Yes,1,11,0,1
Male,56.75,12.25,Married,Yes,White,1.25,Yes,1,4,0,1
Male,31.67,16.165,Married,Yes,White,3,Yes,1,9,730,1
Female,23.42,0.79,Single,No,White,1.5,Yes,1,2,400,1
Female,20.42,0.835,Married,Yes,White,1.585,Yes,1,1,0,1
Male,26.67,4.25,Married,Yes,White,4.29,Yes,1,1,0,1
Male,34.17,1.54,Married,Yes,White,1.54,Yes,1,1,50000,1
Female,36,1,Married,Yes,White,2,Yes,1,11,456,1
Male,25.5,0.375,Married,Yes,White,0.25,Yes,1,3,15108,1
Male,19.42,6.5,Married,Yes,Black,1.46,Yes,1,7,2954,1
Male,35.17,25.125,Married,Yes,Black,1.625,Yes,1,1,500,1
Male,32.33,7.5,Married,Yes,Asian,1.585,Yes,0,0,0,0
Male,34.83,4,Married,Yes,Asian,12.5,Yes,0,0,0,0
Female,38.58,5,Married,Yes,White,13.5,Yes,0,0,0,0
Male,44.25,0.5,Married,Yes,White,10.75,Yes,0,0,0,0
Male,44.83,7,Single,No,White,1.625,No,0,0,2,0
Male,20.67,5.29,Married,Yes,White,0.375,Yes,1,1,0,0
Male,34.08,6.5,Married,Yes,White,0.125,Yes,0,0,0,0
Female,19.17,0.585,Single,No,White,0.585,Yes,0,0,0,0
Male,21.67,1.165,Single,No,White,2.5,Yes,1,1,20,0
Male,21.5,9.75,Married,Yes,White,0.25,Yes,0,0,0,0
Male,49.58,19,Married,Yes,Latino,0,Yes,1,1,0,0
Female,27.67,1.5,Married,Yes,White,2,Yes,0,0,0,0
Male,39.83,0.5,Married,Yes,White,0.25,Yes,0,0,0,0
Female,28.46,3.5,Married,Yes,White,3,Yes,0,0,0,0
Male,27.25,0.625,Married,Yes,White,0.455,Yes,0,0,0,0
Male,37.17,4,Married,Yes,Asian,5,Yes,0,0,0,0
Male,28.46,0.375,Married,Yes,White,0.875,Yes,0,0,0,0
Male,25.67,2.21,Single,No,White,4,Yes,0,0,0,0
Male,34,4.5,Married,Yes,White,1,Yes,0,0,0,0
Female,49,1.5,Married,Yes,Other,0,Yes,0,0,27,0
Male,62.5,12.75,Single,No,Black,5,Yes,0,0,0,0
Male,31.42,15.5,Married,Yes,White,0.5,Yes,0,0,0,0
Male,28.46,5,Single,No,White,8.5,Yes,0,0,0,0
Male,52.33,1.375,Single,No,Black,9.46,Yes,0,0,100,0
Male,28.75,1.5,Single,No,White,1.5,Yes,0,0,225,0
Female,28.58,3.54,Married,Yes,Asian,0.5,Yes,0,0,0,0
Male,23,0.625,Single,No,White,0.125,Yes,0,0,1,0
Male,28.46,0.5,Married,Yes,Asian,0.835,Yes,0,0,0,0
Female,22.5,11,Single,No,White,3,Yes,0,0,0,0
Female,28.5,1,Married,Yes,White,1,Yes,1,2,500,0
Male,37.5,1.75,Single,No,Asian,0.25,Yes,0,0,400,0
Male,35.25,16.5,Single,No,White,4,Yes,0,0,0,0
Male,18.67,5,Married,Yes,White,0.375,Yes,1,2,38,0
Male,25,12,Married,Yes,White,2.25,Yes,1,2,5,0
Male,27.83,4,Single,No,Black,5.75,Yes,1,2,0,0
Male,54.83,15.5,Married,Yes,Other,0,Yes,1,20,130,0
Male,28.75,1.165,Married,Yes,White,0.5,Yes,0,0,0,0
Female,25,11,Single,No,White,4.5,Yes,0,0,0,0
Male,40.92,2.25,Single,No,Black,10,Yes,0,0,0,0
Female,19.75,0.75,Married,Yes,White,0.795,Yes,1,5,5,0
Male,29.17,3.5,Married,Yes,White,3.5,Yes,1,3,0,0
Female,24.5,1.04,Single,No,Latino,0.5,Yes,1,3,147,0
Male,24.58,12.5,Married,Yes,White,0.875,Yes,0,0,0,0
Female,33.75,0.75,Married,Yes,Asian,1,Yes,1,3,0,0
Male,20.67,1.25,Single,No,Black,1.375,Yes,1,3,210,0
Female,25.42,1.125,Married,Yes,White,1.29,Yes,1,2,0,0
Male,37.75,7,Married,Yes,Black,11.5,Yes,1,7,5,0
Male,52.5,6.5,Married,Yes,White,6.29,Yes,1,15,11202,1
Male,57.83,7.04,Married,Yes,White,14,Yes,1,6,1332,1
Female,20.75,10.335,Married,Yes,Black,0.335,Yes,1,1,50,1
Male,39.92,6.21,Married,Yes,White,0.04,Yes,1,1,300,1
Male,25.67,12.5,Married,Yes,White,1.21,Yes,1,67,258,1
Female,24.75,12.5,Married,Yes,White,1.5,Yes,1,12,567,1
Female,44.17,6.665,Married,Yes,White,7.375,Yes,1,3,0,1
Female,23.5,9,Married,Yes,White,8.5,Yes,1,5,0,1
Male,34.92,5,Married,Yes,Black,7.5,Yes,1,6,1000,1
Male,47.67,2.5,Married,Yes,Asian,2.5,Yes,1,12,2510,1
Male,22.75,11,Married,Yes,White,2.5,Yes,1,7,809,1
Male,34.42,4.25,Married,Yes,Asian,3.25,Yes,1,2,610,1
Female,28.42,3.5,Married,Yes,White,0.835,Yes,0,0,0,1
Male,67.75,5.5,Married,Yes,Other,13,Yes,1,1,0,1
Male,20.42,1.835,Married,Yes,White,2.25,Yes,1,1,150,1
Female,47.42,8,Married,Yes,Asian,6.5,Yes,1,6,51100,1
Male,36.25,5,Married,Yes,Asian,2.5,Yes,1,6,367,1
Male,32.67,5.5,Married,Yes,Black,5.5,Yes,1,12,1000,1
Male,48.58,6.5,Married,Yes,Black,6,Yes,0,0,0,1
Male,39.92,0.54,Single,No,White,0.5,Yes,1,3,1000,1
Male,33.58,2.75,Married,Yes,White,4.25,Yes,1,6,0,1
Female,18.83,9.5,Married,Yes,White,1.625,Yes,1,6,600,1
Female,26.92,13.5,Married,Yes,Black,5,Yes,1,2,5000,1
Female,31.25,3.75,Married,Yes,Black,0.625,Yes,1,9,0,1
Female,56.5,16,Married,Yes,Latino,0,Yes,1,15,247,1
Male,43,0.29,Single,No,Black,1.75,Yes,1,8,375,1
Male,22.33,11,Married,Yes,White,2,Yes,1,1,278,1
Male,27.25,1.665,Married,Yes,Black,5.085,Yes,1,9,827,1
Male,32.83,2.5,Married,Yes,Black,2.75,Yes,1,6,2072,1
Male,23.25,1.5,Married,Yes,White,2.375,Yes,1,3,582,1
Female,40.33,7.54,Single,No,Black,8,Yes,1,14,2300,1
Female,30.5,6.5,Married,Yes,Asian,4,Yes,1,7,3065,1
Female,52.83,15,Married,Yes,White,5.5,Yes,1,14,2200,1
Female,46.67,0.46,Married,Yes,Black,0.415,Yes,1,11,6,1
Female,58.33,10,Married,Yes,White,4,Yes,1,14,1602,1
Male,37.33,6.5,Married,Yes,Black,4.25,Yes,1,12,0,1
Male,23.08,2.5,Married,Yes,White,1.085,Yes,1,11,2184,1
Male,32.75,1.5,Married,Yes,Black,5.5,Yes,1,3,0,1
Female,21.67,11.5,Single,No,Other,0,Yes,1,11,0,1
Female,28.5,3.04,Single,No,Black,2.54,Yes,1,1,0,1
Female,68.67,15,Married,Yes,Other,0,Yes,1,14,3376,1
Male,28,2,Married,Yes,Black,4.165,Yes,1,2,0,1
Male,34.08,0.08,Single,No,Asian,0.04,Yes,1,1,2000,1
Male,27.67,2,Married,Yes,Black,1,Yes,1,4,7544,1
Male,44,2,Married,Yes,White,1.75,Yes,1,2,15,1
Male,25.08,1.71,Married,Yes,White,1.665,Yes,1,1,20,1
Male,32,1.75,Single,No,Black,0.04,Yes,0,0,0,1
Female,60.58,16.5,Married,Yes,White,11,Yes,0,0,10561,1
Female,40.83,10,Married,Yes,Black,1.75,Yes,0,0,837,1
Male,19.33,9.5,Married,Yes,White,1,Yes,0,0,400,1
Female,32.33,0.54,Married,Yes,White,0.04,Yes,0,0,11177,1
Male,36.67,3.25,Married,Yes,Black,9,Yes,0,0,639,1
Male,37.5,1.125,Single,No,White,1.5,No,0,0,0,1
Female,25.08,2.54,Single,No,White,0.25,Yes,0,0,0,1
Male,41.33,0,Married,Yes,Asian,15,Yes,0,0,0,1
Male,56,12.5,Married,Yes,Black,8,Yes,0,0,2028,1
Female,49.83,13.585,Married,Yes,Black,8.5,Yes,0,0,0,1
Male,22.67,10.5,Married,Yes,Black,1.335,Yes,0,0,0,1
Male,27,1.5,Single,No,White,0.375,Yes,0,0,1065,1
Male,25,12.5,Married,Yes,White,3,Yes,0,0,0,1
Female,26.08,8.665,Married,Yes,White,1.415,Yes,0,0,150,1
Female,18.42,9.25,Married,Yes,White,1.21,Yes,1,4,540,1
Male,20.17,8.17,Married,Yes,White,1.96,Yes,1,14,158,1
Male,47.67,0.29,Married,Yes,Asian,15,Yes,1,20,15000,1
Female,21.25,2.335,Married,Yes,Asian,0.5,Yes,1,4,0,1
Female,20.67,3,Married,Yes,White,0.165,Yes,1,3,6,1
Female,57.08,19.5,Married,Yes,White,5.5,Yes,1,7,3000,1
Female,22.42,5.665,Married,Yes,White,2.585,Yes,1,7,3257,1
Male,48.75,8.5,Married,Yes,Black,12.5,Yes,1,9,1655,1
Male,40,6.5,Married,Yes,Asian,3.5,Yes,1,1,500,1
Male,40.58,5,Married,Yes,White,5,Yes,1,7,3065,1
Female,28.67,1.04,Married,Yes,White,2.5,Yes,1,5,1430,1
Female,33.08,4.625,Married,Yes,Black,1.625,Yes,1,2,0,1
Male,21.33,10.5,Married,Yes,White,3,Yes,0,0,0,1
Male,42,0.205,Married,Yes,Black,5.125,Yes,0,0,0,1
Male,41.75,0.96,Married,Yes,White,2.5,Yes,0,0,600,1
Male,22.67,1.585,Single,No,White,3.085,Yes,1,6,0,1
Male,34.5,4.04,Single,No,Asian,8.5,Yes,1,7,0,1
Male,28.25,5.04,Single,No,Asian,1.5,Yes,1,8,7,1
Male,33.17,3.165,Single,No,White,3.165,Yes,1,3,0,1
Male,48.17,7.625,Married,Yes,Black,15.5,Yes,1,12,790,1
Male,27.58,2.04,Single,No,White,2,Yes,1,3,560,1
Male,22.58,10.04,Married,Yes,White,0.04,Yes,1,9,396,1
Female,24.08,0.5,Married,Yes,Black,1.25,Yes,1,1,678,1
Female,41.33,1,Married,Yes,Asian,2.25,Yes,0,0,300,1
Male,24.83,2.75,Married,Yes,White,2.25,Yes,1,6,600,1
Female,20.75,10.25,Married,Yes,White,0.71,Yes,1,2,0,1
Male,36.33,2.125,Single,No,White,0.085,Yes,1,1,1187,1
Female,35.42,12,Married,Yes,Black,14,Yes,1,8,6590,1
Female,71.58,0,Married,Yes,White,0,No,0,0,0,1
Male,28.67,9.335,Married,Yes,Black,5.665,Yes,1,6,168,1
Male,35.17,2.5,Married,Yes,White,4.5,Yes,1,7,1270,1
Male,39.5,4.25,Married,Yes,Asian,6.5,Yes,1,16,1210,1
Male,39.33,5.875,Married,Yes,Black,10,Yes,1,14,0,1
Male,24.33,6.625,Single,No,White,5.5,Yes,0,0,0,1
Male,60.08,14.5,Married,Yes,Latino,18,Yes,1,15,1000,1
Male,23.08,11.5,Married,Yes,White,3.5,Yes,1,9,742,1
Male,26.67,2.71,Single,No,White,5.25,Yes,1,1,0,1
Male,48.17,3.5,Married,Yes,White,3.5,Yes,0,0,0,1
Male,41.17,4.04,Married,Yes,Black,7,Yes,1,8,0,1
Male,55.92,11.5,Married,Yes,Latino,5,Yes,1,5,8851,1
Male,53.92,9.625,Married,Yes,White,8.665,Yes,1,5,0,1
Female,18.92,9.25,Single,No,White,1,Yes,1,4,500,1
Female,50.08,12.54,Married,Yes,White,2.29,Yes,1,3,0,1
Male,65.42,11,Married,Yes,Other,20,Yes,1,7,0,1
Female,17.58,9,Married,Yes,White,1.375,Yes,0,0,0,1
Female,18.83,9.54,Married,Yes,White,0.085,Yes,0,0,0,1
Female,37.75,5.5,Married,Yes,White,0.125,Yes,0,0,0,1
Male,23.25,4,Married,Yes,Asian,0.25,Yes,0,0,0,1
Male,18.08,5.5,Married,Yes,White,0.5,Yes,0,0,0,1
Female,22.5,8.46,Single,No,White,2.46,No,0,0,0,1
Male,19.67,0.375,Married,Yes,White,2,Yes,1,2,0,1
Male,22.08,11,Married,Yes,White,0.665,Yes,0,0,0,1
Male,25.17,3.5,Married,Yes,White,0.625,Yes,1,7,7059,1
Female,47.42,3,Married,Yes,White,13.875,Yes,1,2,1704,1
Male,33.5,1.75,Married,Yes,Black,4.5,Yes,1,4,857,1
Male,27.67,13.75,Married,Yes,White,5.75,Yes,0,0,500,1
Female,58.42,21,Married,Yes,Asian,10,Yes,1,13,6700,1
Female,20.67,1.835,Married,Yes,White,2.085,Yes,1,5,2503,1
Male,26.17,0.25,Married,Yes,Asian,0,Yes,0,0,0,1
Male,21.33,7.5,Married,Yes,White,1.415,Yes,1,1,9800,1
Male,42.83,4.625,Married,Yes,White,4.58,Yes,0,0,0,1
Male,38.17,10.125,Married,Yes,White,2.5,Yes,1,6,196,1
Male,20.5,10,Single,No,White,2.5,Yes,0,0,0,1
Male,48.25,25.085,Married,Yes,White,1.75,Yes,1,3,14,1
Male,28.33,5,Married,Yes,White,11,Yes,0,0,0,1
Female,18.75,7.5,Married,Yes,White,2.71,Yes,1,5,26726,1
Male,18.5,2,Married,Yes,White,1.5,Yes,1,2,300,1
Male,33.17,3.04,Single,No,Black,2.04,Yes,1,1,18027,1
Male,45,8.5,Married,Yes,Black,14,Yes,1,1,2000,1
Female,19.67,0.21,Married,Yes,Black,0.29,Yes,1,11,99,1
Male,24.5,12.75,Married,Yes,Asian,4.75,Yes,1,2,444,1
Male,21.83,11,Married,Yes,White,0.29,Yes,1,6,0,1
Male,40.25,21.5,Married,Yes,Other,20,Yes,1,11,1200,1
Male,41.42,5,Married,Yes,Black,5,Yes,1,6,0,1
Female,17.83,11,Married,Yes,Black,1,Yes,1,11,3000,1
Male,23.17,11.125,Married,Yes,Black,0.46,Yes,1,1,0,1
Male,28.46,0.625,Married,Yes,White,0.25,No,0,0,2010,0
Male,18.17,10.25,Married,Yes,Black,1.085,No,0,0,13,0
Male,20,11.045,Married,Yes,White,2,No,0,0,0,0
Male,20,0,Married,Yes,White,0.5,No,0,0,0,0
Female,20.75,9.54,Married,Yes,White,0.04,No,0,0,1000,0
Female,24.5,1.75,Single,No,White,0.165,No,0,0,0,0
Male,32.75,2.335,Married,Yes,Black,5.75,No,0,0,0,0
Female,52.17,0,Single,No,Latino,0,No,0,0,0,0
Female,48.17,1.335,Married,Yes,Other,0.335,No,0,0,120,0
Female,20.42,10.5,Single,No,Black,0,No,0,0,32,0
Male,50.75,0.585,Married,Yes,Latino,0,No,0,0,0,0
Male,17.08,0.085,Single,No,White,0.04,No,0,0,722,0
Male,18.33,1.21,Single,No,Other,0,No,0,0,0,0
Female,32,6,Married,Yes,White,1.25,No,0,0,0,0
Male,59.67,1.54,Married,Yes,White,0.125,Yes,0,0,0,1
Male,18,0.165,Married,Yes,Other,0.21,No,0,0,40,1
Male,37.58,0,Married,Yes,White,0,No,0,0,0,1
Male,32.33,2.5,Married,Yes,White,1.25,No,0,0,0,0
Male,18.08,6.75,Single,No,White,0.04,No,0,0,0,0
Male,38.25,10.125,Single,No,White,0.125,No,0,0,0,0
Male,30.67,2.5,Married,Yes,Black,2.25,No,0,0,0,0
Male,18.58,5.71,Married,Yes,White,0.54,No,0,0,0,0
Female,19.17,5.415,Married,Yes,Black,0.29,No,0,0,484,0
Female,18.17,10,Single,No,Black,0.165,No,0,0,0,0
Male,24.58,13.5,Single,No,Latino,0,No,0,0,0,0
Male,16.25,0.835,Married,Yes,White,0.085,Yes,0,0,0,0
Male,21.17,0.875,Single,No,Black,0.25,No,0,0,204,0
Male,23.92,0.585,Single,No,Black,0.125,No,0,0,1,0
Male,17.67,4.46,Married,Yes,White,0.25,No,0,0,0,0
Female,16.5,1.25,Married,Yes,White,0.25,No,1,1,98,0
Male,23.25,12.625,Married,Yes,White,0.125,No,1,2,5552,0
Male,17.58,10,Married,Yes,Black,0.165,No,1,1,1,0
Female,28.46,1.5,Married,Yes,Latino,0,No,1,2,105,0
Male,29.5,0.58,Married,Yes,White,0.29,No,1,1,2803,0
Male,18.83,0.415,Single,No,White,0.165,No,1,1,1,0
Female,21.75,1.75,Single,No,Other,0,No,0,0,0,0
Male,23,0.75,Married,Yes,White,0.5,No,0,0,0,0
Female,18.25,10,Married,Yes,White,1,No,1,1,1,0
Male,25.42,0.54,Married,Yes,White,0.165,No,1,1,444,0
Male,35.75,2.415,Married,Yes,White,0.125,No,1,2,1,0
Female,16.08,0.335,Married,Yes,Latino,0,No,1,1,126,0
Female,31.92,3.125,Married,Yes,Latino,3.04,No,1,2,4,0
Male,69.17,9,Married,Yes,Latino,4,No,1,1,6,0
Male,32.92,2.5,Married,Yes,White,1.75,No,1,2,0,0
Male,16.33,2.75,Married,Yes,White,0.665,No,1,1,21,0
Male,22.17,12.125,Married,Yes,White,3.335,No,1,2,173,0
Female,57.58,2,Married,Yes,Latino,6.5,No,1,1,10,0
Male,18.25,0.165,Married,Yes,White,0.25,No,0,0,0,0
Male,23.42,1,Married,Yes,White,0.5,No,0,0,0,0
Female,15.92,2.875,Married,Yes,White,0.085,No,0,0,0,0
Female,24.75,13.665,Married,Yes,Black,1.5,No,0,0,1,0
Male,48.75,26.335,Single,No,Latino,0,Yes,0,0,0,0
Male,23.5,2.75,Married,Yes,Latino,4.5,No,0,0,25,0
Male,18.58,10.29,Married,Yes,Latino,0.415,No,0,0,0,0
Male,27.75,1.29,Married,Yes,Black,0.25,No,0,0,0,0
Female,31.75,3,Single,No,Other,0,No,0,0,20,0
Female,24.83,4.5,Married,Yes,White,1,No,0,0,6,0
Male,19,1.75,Single,No,White,2.335,No,0,0,6,0
Female,16.33,0.21,Married,Yes,White,0.125,No,0,0,1,0
Female,18.58,10,Married,Yes,White,0.415,No,0,0,42,0
Male,16.25,0,Single,No,White,0.25,No,0,0,0,0
Male,23,0.75,Married,Yes,White,0.5,Yes,0,0,0,0
Male,21.17,0.25,Single,No,Black,0.25,No,0,0,204,0
Male,17.5,22,Single,Yes,Other,0,No,0,0,100000,1
Male,19.17,0,Single,No,Asian,0,No,0,0,1,1
Male,36.75,0.125,Single,No,White,1.5,No,0,0,113,1
Male,21.25,1.5,Married,Yes,White,1.5,No,0,0,8,1
Female,18.08,0.375,Single,Yes,Latino,10,No,0,0,0,1
Female,33.67,0.375,Married,Yes,White,0.375,No,0,0,44,1
Male,48.58,0.205,Single,No,White,0.25,Yes,1,11,2732,1
Male,33.67,1.25,Married,Yes,White,1.165,No,0,0,0,0
Female,29.5,1.085,Single,No,White,1,No,0,0,13,0
Male,30.17,1.085,Single,No,White,0.04,No,0,0,179,0
Male,40.83,3.5,Married,Yes,Asian,0.5,No,0,0,0,0
Male,34.83,2.5,Single,No,White,3,No,0,0,0,0
Male,28.46,4,Single,No,White,0.085,No,0,0,0,0
Male,20.42,0,Married,Yes,White,0,No,0,0,0,0
Female,33.25,2.5,Single,No,White,2.5,No,0,0,2,0
Male,34.08,2.5,Married,Yes,White,1,No,0,0,16,0
Female,25.25,12.5,Married,Yes,White,1,No,0,0,1062,0
Male,34.75,2.5,Married,Yes,Asian,0.5,No,0,0,0,0
Male,27.67,0.75,Married,Yes,Black,0.165,No,0,0,251,0
Male,47.33,6.5,Married,Yes,White,1,No,0,0,228,0
Female,34.83,1.25,Single,No,Black,0.5,No,0,0,0,0
Female,33.25,3,Single,No,White,2,No,0,0,0,0
Male,28,3,Married,Yes,White,0.75,No,0,0,67,0
Female,39.08,4,Married,Yes,White,3,No,0,0,0,0
Male,42.75,4.085,Married,Yes,White,0.04,No,0,0,100,0
Male,26.92,2.25,Married,Yes,Asian,0.5,No,0,0,4000,0
Male,33.75,2.75,Married,Yes,Asian,0,No,0,0,0,0
Male,38.92,1.75,Married,Yes,White,0.5,No,0,0,2,0
Male,62.75,7,Married,Yes,Other,0,No,0,0,12,0
Male,32.25,1.5,Married,Yes,White,0.25,No,0,0,122,0
Male,26.75,4.5,Single,No,Asian,2.5,No,0,0,1210,0
Male,63.33,0.54,Married,Yes,White,0.585,Yes,1,3,0,0
Male,27.83,1.5,Married,Yes,White,2.25,No,1,1,3,0
Female,26.17,2,Married,Yes,Other,0,No,0,0,1,0
Male,22.17,0.585,Single,No,Latino,0,No,0,0,0,0
Male,22.5,11.5,Single,No,White,1.5,No,0,0,4000,0
Male,30.75,1.585,Married,Yes,White,0.585,No,0,0,0,0
Male,36.67,2,Married,Yes,White,0.25,No,0,0,0,0
Female,16,0.165,Married,Yes,White,1,No,1,2,1,0
Male,41.17,1.335,Married,Yes,White,0.165,No,0,0,0,0
Female,19.5,0.165,Married,Yes,White,0.04,No,0,0,0,0
Male,32.42,3,Married,Yes,White,0.165,No,0,0,0,0
Female,36.75,4.71,Married,Yes,Latino,0,No,0,0,0,0
Female,30.25,5.5,Married,Yes,White,5.5,No,0,0,0,0
Male,23.08,2.5,Married,Yes,Latino,0.085,No,0,0,4208,0
Male,26.83,0.54,Married,Yes,Latino,0,No,0,0,0,0
Male,16.92,0.335,Single,No,White,0.29,No,0,0,0,0
Male,24.42,2,Married,Yes,Other,0.165,No,1,2,1300,0
Male,42.83,1.25,Married,Yes,White,13.875,No,1,1,112,0
Female,22.75,6.165,Married,Yes,White,0.165,No,0,0,1000,0
Male,39.42,1.71,Single,No,White,0.165,No,0,0,0,0
Female,23.58,11.5,Single,No,Black,3,No,0,0,16,0
Male,21.42,0.75,Single,No,Other,0.75,No,0,0,2,0
Male,33,2.5,Single,No,White,7,No,0,0,0,0
Male,26.33,13,Married,Yes,Other,0,No,0,0,1110,0
Female,45,4.585,Married,Yes,Black,1,No,0,0,0,0
Male,26.25,1.54,Married,Yes,White,0.125,No,0,0,0,0
Male,28.17,0.585,Married,Yes,White,0.04,No,0,0,1004,0
Female,20.83,0.5,Single,No,Other,1,No,0,0,0,0
Male,28.67,14.5,Married,Yes,White,0.125,No,0,0,286,0
Male,20.67,0.835,Single,No,White,2,No,0,0,0,0
Male,34.42,1.335,Married,Yes,Asian,0.125,No,0,0,4500,0
Male,33.58,0.25,Married,Yes,Asian,4,No,0,0,0,0
Male,43.17,5,Married,Yes,Asian,2.25,No,0,0,0,0
Female,22.67,7,Married,Yes,White,0.165,No,0,0,0,0
Female,24.33,2.5,Single,No,Asian,4.5,No,0,0,456,0
Female,56.83,4.25,Single,No,Latino,5,No,0,0,4,0
Male,22.08,11.46,Married,Yes,White,1.585,No,0,0,1212,0
Male,34,5.5,Single,No,White,1.5,No,0,0,0,0
Male,22.58,1.5,Single,No,White,0.54,No,0,0,67,0
Male,21.17,0,Married,Yes,White,0.5,No,0,0,0,0
Male,26.67,14.585,Married,Yes,Asian,0,No,0,0,0,0
Male,22.92,0.17,Married,Yes,White,0.085,No,0,0,0,0
Male,15.17,7,Married,Yes,White,1,No,0,0,0,0
Male,39.92,5,Married,Yes,Asian,0.21,No,0,0,0,0
Male,27.42,12.5,Married,Yes,Asian,0.25,No,0,0,0,0
Male,24.75,0.54,Married,Yes,White,1,No,0,0,1,0
Male,41.17,1.25,Single,No,White,0.25,No,0,0,195,0
Female,33.08,1.625,Married,Yes,White,0.54,No,0,0,0,0
Male,29.83,2.04,Single,No,Black,0.04,No,0,0,1,0
Female,23.58,0.585,Single,No,Latino,0.125,No,0,0,87,0
Male,26.17,12.5,Single,No,Black,1.25,No,0,0,17,0
Male,31,2.085,Married,Yes,White,0.085,No,0,0,0,0
Male,20.75,5.085,Single,No,White,0.29,No,0,0,184,0
Male,28.92,0.375,Married,Yes,White,0.29,No,0,0,140,0
Female,51.92,6.5,Married,Yes,Asian,3.085,No,0,0,0,0
