,College_Name,State,Public_or_Private,Apps_received,Apps_accepted,New_students,Percent_from_top_10,Percent_from_top_25,FT_undergrads,PT_undergrads,in-state_tuition,out-of-state_tuition,room,board,fees,book_costs,personal_costs,PhD_Faculty,faculty_student_ratio,Graduation_rate
31,Arkansas College (Lyon College),AR,2,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,2382.0,1540.0,120.0,500.0,800.0,79.0,12.6,54.0
32,Arkansas Tech University,AR,1,1734.0,1729.0,951.0,12.0,52.0,3602.0,939.0,1730.0,3460.0,,,60.0,450.0,1000.0,57.0,19.6,48.0
33,Arkansas State University,AR,1,2688.0,2633.0,1488.0,,,7212.0,1707.0,1800.0,3720.0,,,130.0,500.0,,71.0,20.0,39.0
34,University of Central Arkansas,AR,1,3131.0,2703.0,1792.0,,47.0,7402.0,1119.0,1700.0,3274.0,1440.0,1160.0,126.0,600.0,1761.0,71.0,20.5,36.0
35,University of the Ozarks,AR,2,218.0,215.0,126.0,15.0,55.0,570.0,59.0,4800.0,4800.0,1650.0,1200.0,120.0,400.0,2000.0,49.0,12.8,
36,Henderson State University,AR,1,1490.0,1490.0,771.0,21.0,47.0,2942.0,997.0,1440.0,2880.0,2400.0,,80.0,500.0,,58.0,19.0,68.0
37,Hendrix College,AR,2,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,8800.0,1935.0,1260.0,325.0,500.0,1200.0,82.0,13.1,63.0
38,John Brown University,AR,2,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,6398.0,1450.0,2222.0,148.0,400.0,1350.0,68.0,13.3,75.0
39,University of Arkansas at Little Rock,AR,1,1766.0,1322.0,1194.0,,,5753.0,4058.0,2136.0,5352.0,2435.0,,166.0,800.0,800.0,61.0,14.7,19.0
40,Ouachita Baptist University,AR,2,910.0,773.0,450.0,31.0,73.0,1310.0,61.0,6530.0,6530.0,2800.0,,100.0,500.0,1500.0,63.0,13.3,65.0
41,Philander Smith College,AR,2,350.0,350.0,222.0,12.0,23.0,701.0,239.0,2370.0,2370.0,630.0,630.0,,,,41.0,18.1,
42,Williams Baptist College,AR,2,220.0,210.0,131.0,12.0,34.0,509.0,97.0,3952.0,3952.0,,,150.0,400.0,600.0,62.0,18.0,
43,Southern Arkansas University,AR,1,792.0,792.0,499.0,26.0,45.0,2229.0,270.0,1500.0,2340.0,,,,400.0,,40.0,17.0,33.0
44,University of Arkansas at Fayetteville,AR,1,3235.0,3108.0,2133.0,25.0,65.0,9978.0,1530.0,1932.0,5028.0,3300.0,,122.0,500.0,2000.0,73.0,14.8,39.0
45,Harding University,AR,2,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,5504.0,1650.0,1878.0,1016.0,700.0,910.0,71.0,17.7,73.0
46,Grand Canyon University,AZ,2,497.0,393.0,169.0,,,1364.0,454.0,6870.0,6870.0,,,370.0,400.0,1125.0,56.0,14.2,81.0
47,Arizona State University Main campus,AZ,1,12809.0,10308.0,3761.0,24.0,49.0,22593.0,7585.0,1828.0,7434.0,,,66.0,700.0,2100.0,88.0,18.9,48.0
48,Northern Arizona University,AZ,1,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,21.7,41.0
49,University of Arizona,AZ,1,14079.0,12238.0,4529.0,29.0,57.0,21664.0,4894.0,1828.0,7434.0,2186.0,2030.0,66.0,620.0,2550.0,91.0,19.6,49.0
50,Prescott College,AZ,2,321.0,227.0,129.0,,,693.0,40.0,9800.0,9800.0,,,495.0,400.0,3522.0,55.0,2.3,
51,Azusa Pacific University,CA,2,1080.0,948.0,504.0,25.0,56.0,2032.0,122.0,15500.0,15500.0,1900.0,1800.0,206.0,250.0,750.0,47.0,12.8,
52,Biola University,CA,2,1118.0,896.0,459.0,,,2058.0,111.0,11388.0,11388.0,1984.0,2562.0,,1000.0,,67.0,16.6,36.0
53,California Baptist College,CA,2,308.0,262.0,157.0,,44.0,592.0,113.0,6370.0,6370.0,1800.0,2094.0,370.0,,,56.0,13.0,43.0
54,California Institute of Technology,CA,2,1916.0,507.0,210.0,98.0,100.0,912.0,,16695.0,16695.0,,,210.0,735.0,3466.0,100.0,6.5,83.0
55,California Lutheran University,CA,2,563.0,247.0,247.0,23.0,52.0,1427.0,432.0,12950.0,12950.0,5300.0,,215.0,612.0,576.0,72.0,12.4,60.0
56,California State Univ. at Fullerton,CA,1,6004.0,4480.0,1470.0,,,12147.0,6681.0,1606.0,8990.0,3476.0,,1606.0,600.0,,88.0,19.9,56.0
57,California State Univ. at Hayward,CA,1,2121.0,698.0,1126.0,,,6790.0,2988.0,1432.0,8803.0,2550.0,,,450.0,,,20.5,47.0
58,California State Univ. at Long Beach,CA,1,10278.0,7746.0,2576.0,,,,,1053.0,8233.0,4400.0,,,,,80.0,20.3,48.0
59,California State Univ. at Los Angeles,CA,1,5609.0,2756.0,1268.0,,,9358.0,5222.0,1788.0,7454.0,2900.0,,119.0,577.0,,53.0,20.4,49.0
60,California State Univ. at Dominguez Hills,CA,1,1493.0,1194.0,428.0,,,4246.0,2457.0,1440.0,8820.0,,2116.0,,,,90.0,18.1,24.0
61,California State Univ. at San Bernardino,CA,1,2329.0,1619.0,1521.0,,,6609.0,4398.0,,,,,,,,93.0,20.3,49.0
62,California Polytechnic-San Luis,CA,1,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,2033.0,7380.0,2335.0,2542.0,20.0,612.0,2091.0,72.0,19.8,59.0
63,California Poly-Pomona,CA,1,5945.0,3887.0,1566.0,,60.0,11177.0,4027.0,,5904.0,2499.0,2363.0,1720.0,630.0,2430.0,73.0,18.5,50.0
64,California State University at Chico,CA,1,4816.0,3922.0,1278.0,,75.0,11822.0,1343.0,,5904.0,2020.0,3030.0,1982.0,612.0,2100.0,,18.9,63.0
65,California State University at Fresno,CA,1,4540.0,3294.0,1483.0,5.0,60.0,13494.0,1254.0,1802.0,7706.0,,,,600.0,1926.0,90.0,21.2,61.0
66,Humboldt State University,CA,1,3467.0,2190.0,565.0,,,5637.0,678.0,1599.0,9979.0,4200.0,,1467.0,600.0,800.0,80.0,16.4,65.0
67,California State University at Sacramento,CA,1,4348.0,3026.0,1234.0,,,13724.0,8161.0,1716.0,9096.0,,,,700.0,,79.0,19.2,47.0
68,San Diego State University,CA,1,9402.0,7020.0,2151.0,20.0,70.0,16407.0,5550.0,1742.0,8384.0,3556.0,,,612.0,2400.0,87.0,19.5,41.0
69,California State University at Northridge,CA,1,7672.0,5331.0,2157.0,,33.0,15567.0,7544.0,1440.0,5904.0,,,1520.0,576.0,1464.0,,20.3,43.0
70,San Francisco State University,CA,1,5385.0,3539.0,1259.0,,,13165.0,5937.0,1584.0,8964.0,,,352.0,630.0,2286.0,75.0,17.4,55.0
71,San Jose State University,CA,1,5210.0,4094.0,1420.0,,,14392.0,7263.0,1976.0,8820.0,1680.0,2544.0,194.0,350.0,2204.0,72.0,17.4,46.0
72,Sonoma State University,CA,1,2726.0,982.0,557.0,47.0,84.0,4239.0,1259.0,,7830.0,3348.0,1841.0,2106.0,610.0,1650.0,79.0,16.1,40.0
73,California State University at Stanislaus,CA,1,1042.0,830.0,461.0,,,2895.0,1678.0,1584.0,8868.0,,,,650.0,,89.0,15.3,
74,United States International University,CA,2,322.0,168.0,51.0,,,237.0,67.0,11760.0,11760.0,4225.0,,90.0,630.0,1836.0,90.0,15.7,23.0
75,Chapman University,CA,2,959.0,771.0,351.0,23.0,48.0,1662.0,209.0,16624.0,16624.0,5895.0,,521.0,600.0,1100.0,72.0,12.8,47.0
76,Claremont McKenna College,CA,2,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17000.0,17000.0,3160.0,2850.0,140.0,500.0,850.0,99.0,9.6,87.0
77,Harvey Mudd College,CA,2,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,17230.0,3320.0,3370.0,465.0,700.0,900.0,100.0,8.2,100.0
78,Pitzer College,CA,2,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,17688.0,3192.0,2708.0,1548.0,650.0,850.0,100.0,10.4,73.0
79,Pomona College,CA,2,3037.0,1130.0,390.0,80.0,98.0,1500.0,,17720.0,17720.0,,,180.0,800.0,1000.0,94.0,8.9,91.0
80,Scripps College,CA,2,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,17238.0,3500.0,3850.0,112.0,600.0,800.0,95.0,8.2,73.0
81,College of Notre Dame,CA,2,344.0,264.0,97.0,11.0,42.0,500.0,331.0,12600.0,12600.0,5520.0,,,630.0,2250.0,77.0,10.4,43.0
82,Holy Names College,CA,2,258.0,157.0,43.0,,,273.0,317.0,11480.0,11480.0,,,290.0,630.0,2034.0,75.0,7.8,44.0
83,Dominican College of San Rafael,CA,2,213.0,173.0,75.0,,,648.0,150.0,12790.0,12790.0,6100.0,,250.0,650.0,2250.0,56.0,11.6,50.0
84,La Sierra University,CA,2,659.0,530.0,325.0,,,1067.0,268.0,12180.0,12180.0,2160.0,1695.0,195.0,683.0,2438.0,69.0,12.6,49.0
85,University of La Verne,CA,2,1597.0,969.0,226.0,16.0,38.0,1431.0,1522.0,13540.0,13540.0,5050.0,,,630.0,2298.0,66.0,14.1,47.0
86,Menlo College,CA,2,315.0,275.0,115.0,,,553.0,9.0,13975.0,13975.0,6200.0,,690.0,500.0,,46.0,15.4,
87,Mills College,CA,2,529.0,414.0,132.0,32.0,66.0,781.0,43.0,14100.0,14100.0,,3000.0,442.0,600.0,1370.0,,10.3,64.0
88,Mount St. Mary's College,CA,2,657.0,537.0,113.0,37.0,90.0,1039.0,466.0,12474.0,12474.0,5678.0,,425.0,630.0,1278.0,53.0,11.9,72.0
89,Occidental College,CA,2,2324.0,1319.0,370.0,52.0,81.0,1686.0,35.0,16560.0,16560.0,2980.0,2160.0,334.0,558.0,1152.0,91.0,10.5,79.0
90,Pacific Christian College,CA,2,167.0,142.0,89.0,9.0,41.0,414.0,165.0,6500.0,6500.0,3000.0,,490.0,500.0,,38.0,10.7,67.0
91,Fresno Pacific College,CA,2,346.0,274.0,146.0,51.0,87.0,704.0,63.0,9900.0,9900.0,1500.0,2170.0,174.0,630.0,1818.0,59.0,10.5,54.0
92,Pacific Union College,CA,2,940.0,668.0,385.0,20.0,48.0,1316.0,139.0,11925.0,11925.0,1590.0,2235.0,,630.0,1926.0,48.0,12.3,69.0
93,Point Loma Nazarene College,CA,2,809.0,687.0,428.0,20.0,43.0,1889.0,217.0,10176.0,10178.0,,,134.0,800.0,750.0,71.0,16.1,54.0
94,Pepperdine University,CA,2,3821.0,2037.0,680.0,86.0,96.0,2488.0,625.0,18200.0,18200.0,3750.0,3020.0,70.0,500.0,700.0,95.0,11.6,66.0
95,Southern California College,CA,2,385.0,340.0,193.0,18.0,38.0,784.0,127.0,9520.0,9520.0,1980.0,2144.0,340.0,630.0,1818.0,63.0,18.6,43.0
96,St. Mary's College of California,CA,2,2643.0,1611.0,465.0,36.0,80.0,2615.0,248.0,13332.0,13332.0,3177.0,3177.0,120.0,630.0,1584.0,88.0,16.1,78.0
97,Stanford University,CA,2,13608.0,2926.0,1616.0,88.0,97.0,6573.0,,18669.0,18669.0,,,,840.0,1355.0,,9.7,96.0
98,University of California at Berkeley,CA,1,19873.0,8252.0,3215.0,95.0,100.0,19532.0,2061.0,3949.0,11648.0,,,,636.0,1933.0,93.0,15.8,78.0
99,University of California at Davis,CA,1,16343.0,11399.0,3124.0,95.0,100.0,15429.0,1888.0,,7699.0,,,4374.0,841.0,2374.0,,14.5,76.0
100,University of California at Irvine,CA,1,15698.0,10775.0,2478.0,85.0,100.0,12677.0,864.0,4325.0,12024.0,,,,790.0,1818.0,96.0,16.1,66.0
101,University of California at Los Angeles,CA,1,22165.0,10435.0,3591.0,93.0,100.0,21637.0,1255.0,,7689.0,,,3894.0,850.0,1255.0,97.0,11.8,77.0
102,University of California at Riverside,CA,1,9798.0,7566.0,1470.0,80.0,100.0,6922.0,265.0,,7699.0,,,4092.0,780.0,1350.0,98.0,13.4,62.0
103,University of California at San Diego,CA,1,19433.0,11469.0,2481.0,95.0,100.0,13738.0,711.0,,7699.0,,,4128.0,630.0,1935.0,100.0,13.9,66.0
104,University of California at Santa Barbara,CA,1,16663.0,14141.0,3239.0,90.0,100.0,15638.0,693.0,,11218.0,,,4372.0,630.0,2045.0,96.0,18.9,69.0
105,University of California at Santa Cruz,CA,1,10758.0,8559.0,1717.0,94.0,100.0,8713.0,607.0,,7699.0,6081.0,,4110.0,633.0,1191.0,94.0,21.3,59.0
106,University of Redlands,CA,2,1498.0,1219.0,306.0,26.0,63.0,1369.0,1587.0,16530.0,16530.0,2795.0,3410.0,405.0,600.0,,81.0,8.9,73.0
107,University of San Francisco,CA,2,2306.0,1721.0,538.0,23.0,48.0,4309.0,549.0,13226.0,13226.0,3846.0,2606.0,100.0,750.0,2450.0,86.0,13.6,62.0
108,Santa Clara University,CA,2,4019.0,2779.0,888.0,40.0,73.0,3891.0,128.0,13584.0,13584.0,5928.0,,396.0,630.0,1278.0,88.0,13.9,100.0
109,University of Southern California,CA,2,12229.0,8498.0,2477.0,45.0,71.0,13259.0,1429.0,17230.0,17230.0,3566.0,2916.0,330.0,600.0,2210.0,90.0,11.4,68.0
110,University of the Pacific,CA,2,2459.0,1997.0,582.0,36.0,66.0,2664.0,299.0,16320.0,16320.0,,,330.0,646.0,1171.0,87.0,11.2,65.0
111,Westmont College,CA,1,950.0,713.0,351.0,42.0,72.0,1276.0,9.0,14320.0,14320.0,3080.0,2224.0,866.0,490.0,1410.0,77.0,14.9,87.0
112,Whittier College,CA,2,1681.0,1069.0,344.0,35.0,63.0,1235.0,30.0,16249.0,16249.0,5699.0,,579.0,500.0,1998.0,84.0,13.6,52.0
113,Woodbury University,CA,2,349.0,313.0,111.0,,,765.0,191.0,13020.0,13020.0,,,840.0,900.0,2160.0,28.0,13.5,54.0
114,University of Judaism,CA,2,52.0,36.0,18.0,,,88.0,12.0,10560.0,10560.0,,,428.0,825.0,2325.0,100.0,7.2,55.0
115,San Francisco Art Institute,CA,2,177.0,136.0,41.0,,,438.0,103.0,14500.0,14500.0,5600.0,,,1200.0,1620.0,,14.4,30.0
116,California State Univ. at Bakersfield,CA,1,941.0,643.0,415.0,,66.0,2571.0,1263.0,1204.0,8725.0,,3475.0,914.0,300.0,,82.0,13.4,24.0
117,University of San Diego,CA,2,3934.0,2735.0,886.0,40.0,70.0,3698.0,217.0,13600.0,13600.0,,,100.0,630.0,1820.0,93.0,15.6,66.0
118,Thomas Aquinas College,CA,2,125.0,87.0,67.0,22.0,59.0,208.0,,13400.0,13400.0,,,,300.0,1400.0,68.0,10.9,71.0
119,Loyola Marymount University,CA,2,3768.0,2662.0,753.0,42.0,64.0,3558.0,436.0,13592.0,13592.0,3276.0,2640.0,176.0,545.0,1328.0,84.0,14.2,84.0
120,Concordia University,CA,2,688.0,497.0,144.0,30.0,75.0,641.0,101.0,10800.0,10800.0,2520.0,1920.0,690.0,570.0,1515.0,55.0,13.1,55.0
121,Adams State College,CO,1,1508.0,1259.0,569.0,16.0,44.0,1922.0,232.0,1386.0,1672.0,1820.0,1910.0,374.0,520.0,2200.0,63.0,27.9,60.0
122,Colorado College,CO,2,3207.0,1577.0,490.0,56.0,87.0,1892.0,7.0,17142.0,17142.0,2114.0,2076.0,120.0,450.0,1200.0,85.0,11.3,84.0
123,University of Northern Colorado,CO,1,5530.0,4007.0,1697.0,12.0,37.0,8463.0,1498.0,1829.0,7731.0,,,398.0,540.0,2286.0,75.0,21.5,40.0
124,Colorado State University,CO,1,9478.0,6312.0,2194.0,29.0,65.0,15646.0,1829.0,2124.0,8412.0,4180.0,,585.0,470.0,1800.0,87.0,19.2,59.0
125,Fort Lewis College,CO,1,3440.0,2823.0,1123.0,16.0,35.0,3793.0,486.0,1450.0,6198.0,1820.0,1500.0,327.0,500.0,2500.0,89.0,19.1,46.0
126,Mesa State College,CO,1,1584.0,1456.0,891.0,6.0,18.0,3471.0,911.0,1434.0,5016.0,1782.0,2016.0,380.0,540.0,2256.0,48.0,28.8,59.0
127,Metropolitan State College,CO,1,3512.0,2975.0,1662.0,6.0,23.0,9544.0,8177.0,1494.0,5790.0,,,129.0,500.0,1205.0,75.0,21.1,25.0
128,Regis University,CO,2,1107.0,904.0,308.0,,,1142.0,27.0,12700.0,12700.0,2700.0,2780.0,60.0,520.0,1170.0,90.0,14.8,53.0
129,University of Southern Colorado,CO,1,1401.0,1239.0,605.0,10.0,34.0,3716.0,675.0,1644.0,7100.0,1756.0,2624.0,324.0,540.0,2948.0,63.0,19.4,36.0
130,United States Air Force Academy,CO,1,9557.0,1605.0,1160.0,72.0,95.0,4236.0,,,,,,,,,40.0,8.2,88.0
131,University of Colorado at Boulder,CO,1,14063.0,9320.0,3436.0,28.0,65.0,18465.0,1541.0,2230.0,12563.0,3811.0,,459.0,540.0,2319.0,90.0,19.9,66.0
132,University of Denver,CO,2,2974.0,2001.0,580.0,29.0,60.0,2666.0,554.0,15192.0,15192.0,4695.0,,330.0,400.0,1350.0,84.0,15.9,67.0
133,Western State College of Colorado,CO,1,2702.0,1623.0,604.0,7.0,24.0,2315.0,146.0,1819.0,5918.0,1936.0,1819.0,507.0,500.0,2050.0,76.0,19.4,52.0
134,University of Colorado at Colorado Springs,CO,1,826.0,620.0,318.0,12.0,39.0,2570.0,1569.0,2475.0,8090.0,,,,540.0,2888.0,93.0,15.0,
135,University of Colorado at Denver,CO,1,1199.0,562.0,261.0,30.0,74.0,3805.0,2728.0,1828.0,9244.0,,,240.0,520.0,2138.0,89.0,18.1,24.0
136,Colorado Christian University,CO,2,735.0,583.0,310.0,9.0,,1001.0,65.0,6720.0,6720.0,3480.0,,550.0,400.0,3725.0,56.0,8.6,
137,Albertus Magnus College,CT,2,353.0,340.0,103.0,17.0,45.0,416.0,230.0,13290.0,13290.0,5720.0,,200.0,500.0,1500.0,90.0,11.5,63.0
138,Central Connecticut State University,CT,1,4158.0,2532.0,902.0,6.0,24.0,6394.0,3881.0,1842.0,5962.0,2384.0,2060.0,1298.0,500.0,985.0,69.0,16.7,49.0
139,Connecticut College,CT,2,3035.0,1546.0,438.0,42.0,93.0,1630.0,232.0,18740.0,18740.0,2935.0,3365.0,210.0,600.0,500.0,86.0,10.7,91.0
140,Western Connecticut State University,CT,1,2486.0,1503.0,528.0,7.0,23.0,2818.0,1861.0,1842.0,5962.0,2174.0,1762.0,1218.0,,,69.0,15.5,
141,Fairfield University,CT,2,4784.0,3346.0,781.0,30.0,66.0,2984.0,1037.0,15000.0,15000.0,6200.0,,310.0,700.0,1100.0,86.0,15.1,94.0
142,University of New Haven,CT,2,1651.0,1412.0,336.0,,11.0,1411.0,1914.0,10600.0,10600.0,3120.0,1900.0,200.0,500.0,,79.0,15.6,79.0
143,Teikyo Post University,CT,2,345.0,297.0,92.0,13.0,26.0,570.0,1273.0,11300.0,11300.0,5400.0,,250.0,400.0,1000.0,30.0,12.2,
144,Quinnipiac College,CT,2,3712.0,2153.0,806.0,17.0,45.0,2677.0,714.0,12030.0,12030.0,6140.0,,590.0,1000.0,500.0,63.0,12.0,86.0
145,Sacred Heart University,CT,2,2307.0,1896.0,509.0,19.0,51.0,1707.0,1889.0,11070.0,11070.0,4090.0,1690.0,320.0,400.0,600.0,71.0,14.8,82.0
146,Southern Connecticut State University,CT,1,3852.0,2652.0,1044.0,4.0,14.0,5892.0,2478.0,1842.0,5962.0,2180.0,2616.0,1190.0,700.0,,62.0,15.8,45.0
147,Saint Joseph College,CT,2,292.0,241.0,96.0,20.0,52.0,543.0,712.0,12200.0,12200.0,2200.0,2400.0,200.0,650.0,950.0,87.0,11.2,76.0
148,Trinity College,CT,2,3058.0,1798.0,478.0,46.0,84.0,1737.0,244.0,18810.0,18810.0,3540.0,2150.0,780.0,500.0,680.0,91.0,10.4,91.0
149,United States Coast Guard Academy,CT,1,5099.0,466.0,277.0,72.0,97.0,930.0,,,,,,,,,31.0,8.3,71.0
150,University of Bridgeport,CT,2,598.0,441.0,153.0,16.0,36.0,527.0,312.0,12500.0,12500.0,3700.0,3110.0,624.0,500.0,500.0,76.0,7.9,51.0
151,University of Hartford,CT,2,5081.0,4040.0,1194.0,11.0,26.0,3768.0,1415.0,14220.0,14220.0,2300.0,3700.0,690.0,500.0,1440.0,61.0,10.7,66.0
152,Wesleyan University,CT,2,4772.0,1973.0,712.0,60.0,86.0,2714.0,27.0,19130.0,19130.0,3290.0,2310.0,660.0,1400.0,1400.0,90.0,12.1,92.0
153,Eastern Connecticut State University,CT,1,2172.0,1493.0,564.0,14.0,50.0,2766.0,1531.0,1842.0,5962.0,2436.0,1880.0,1513.0,650.0,500.0,71.0,16.9,50.0
154,Yale University,CT,2,10705.0,2453.0,1317.0,95.0,99.0,5217.0,83.0,19840.0,19840.0,3040.0,3470.0,,630.0,2115.0,96.0,5.8,99.0
155,University of Connecticut at Storrs,CT,1,9735.0,7187.0,2064.0,23.0,63.0,12478.0,1660.0,3824.0,11656.0,2552.0,2520.0,888.0,700.0,2300.0,89.0,16.0,71.0
156,American University,DC,2,4613.0,3587.0,1048.0,35.0,77.0,4545.0,873.0,15934.0,15934.0,2440.0,3960.0,210.0,450.0,800.0,,13.6,69.0
157,Catholic University of America,DC,2,1754.0,1465.0,505.0,24.0,49.0,2159.0,211.0,13712.0,13712.0,3622.0,2786.0,460.0,526.0,1100.0,90.0,9.3,75.0
158,Gallaudet University,DC,2,825.0,645.0,392.0,,,1541.0,221.0,4700.0,4700.0,3100.0,2300.0,330.0,663.0,2343.0,58.0,6.6,
159,George Washington University,DC,2,7875.0,5062.0,1492.0,38.0,71.0,5471.0,1470.0,17450.0,17450.0,3998.0,2330.0,720.0,700.0,950.0,92.0,7.6,72.0
160,Georgetown University,DC,2,11115.0,2881.0,1390.0,71.0,93.0,5881.0,406.0,18300.0,18300.0,2590.0,4541.0,156.0,670.0,1700.0,91.0,7.2,95.0
161,Howard University,DC,2,9776.0,3164.0,1666.0,,,6705.0,874.0,7128.0,7128.0,2050.0,1700.0,615.0,300.0,,78.0,7.5,46.0
